id,carrier_id:id,partner_id:id,type,name,final_partner_id:id,has_final_recipient,option_ids:id
stock_picking_so_colissimo_6A0,delivery_carrier_coliposte_6A,delivery_carrier_colipostefr.res_partner_diss,out,S0001,,,6A_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6A1,delivery_carrier_coliposte_6A,delivery_carrier_colipostefr.res_partner_voj,out,S0002,,,6A_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6A2,delivery_carrier_coliposte_6A,delivery_carrier_colipostefr.res_partner_honnete,out,S0003,,,6A_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6A3,delivery_carrier_coliposte_6A,delivery_carrier_colipostefr.res_partner_vencouran,out,S0004,,,6A_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6A4,delivery_carrier_coliposte_6A,delivery_carrier_colipostefr.res_partner_baral,out,S0005,,,6A_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6A5,delivery_carrier_coliposte_6A,delivery_carrier_colipostefr.res_partner_dubol,out,S0006,,,6A_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6A6,delivery_carrier_coliposte_6A,delivery_carrier_colipostefr.res_partner_bi,out,S0007,,,6A_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6A7,delivery_carrier_coliposte_6A,delivery_carrier_colipostefr.res_partner_dubol,out,S0008,,,6A_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6A8,delivery_carrier_coliposte_6A,delivery_carrier_colipostefr.res_partner_honnete,out,S0009,,,6A_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6A9,delivery_carrier_coliposte_6A,delivery_carrier_colipostefr.res_partner_debord,out,S0010,,,6A_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6C0,delivery_carrier_coliposte_6C,delivery_carrier_colipostefr.res_partner_diss,out,S0026,,,6C_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6C1,delivery_carrier_coliposte_6C,delivery_carrier_colipostefr.res_partner_voj,out,S0027,,,6C_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6C2,delivery_carrier_coliposte_6C,delivery_carrier_colipostefr.res_partner_honnete,out,S0028,,,6C_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6C3,delivery_carrier_coliposte_6C,delivery_carrier_colipostefr.res_partner_vencouran,out,S0029,,,6C_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6C4,delivery_carrier_coliposte_6C,delivery_carrier_colipostefr.res_partner_aze,out,S0030,,,6C_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6C5,delivery_carrier_coliposte_6C,delivery_carrier_colipostefr.res_partner_dubol,out,S0031,,,6C_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6C6,delivery_carrier_coliposte_6C,delivery_carrier_colipostefr.res_partner_bi,out,S0032,,,6C_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6C7,delivery_carrier_coliposte_6C,delivery_carrier_colipostefr.res_partner_dubol,out,S0033,,,6C_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6C8,delivery_carrier_coliposte_6C,delivery_carrier_colipostefr.res_partner_honnete,out,S0034,,,6C_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6C9,delivery_carrier_coliposte_6C,delivery_carrier_colipostefr.res_partner_debord,out,S0035,,,6C_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6H0,delivery_carrier_coliposte_6H,drop_6H_0_res_partner,out,S0051,delivery_carrier_colipostefr.res_partner_diss,1,6H_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6H1,delivery_carrier_coliposte_6H,drop_6H_1_res_partner,out,S0052,delivery_carrier_colipostefr.res_partner_voj,1,6H_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6H2,delivery_carrier_coliposte_6H,drop_6H_2_res_partner,out,S0053,delivery_carrier_colipostefr.res_partner_honnete,1,6H_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6H3,delivery_carrier_coliposte_6H,drop_6H_3_res_partner,out,S0054,delivery_carrier_colipostefr.res_partner_vencouran,1,6H_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6H4,delivery_carrier_coliposte_6H,drop_6H_4_res_partner,out,S0055,delivery_carrier_colipostefr.res_partner_aze,1,6H_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6H5,delivery_carrier_coliposte_6H,drop_6H_5_res_partner,out,S0056,delivery_carrier_colipostefr.res_partner_dubol,1,6H_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6H6,delivery_carrier_coliposte_6H,drop_6H_6_res_partner,out,S0057,delivery_carrier_colipostefr.res_partner_bi,1,6H_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6H7,delivery_carrier_coliposte_6H,drop_6H_7_res_partner,out,S0058,delivery_carrier_colipostefr.res_partner_dubol,1,6H_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6H8,delivery_carrier_coliposte_6H,drop_6H_8_res_partner,out,S0059,delivery_carrier_colipostefr.res_partner_honnete,1,6H_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6H9,delivery_carrier_coliposte_6H,drop_6H_9_res_partner,out,S0060,delivery_carrier_colipostefr.res_partner_debord,1,6H_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6J0,delivery_carrier_coliposte_6J,drop_6J_0_res_partner,out,S0076,delivery_carrier_colipostefr.res_partner_diss,1,6J_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6J1,delivery_carrier_coliposte_6J,drop_6J_1_res_partner,out,S0077,delivery_carrier_colipostefr.res_partner_voj,1,6J_colipostefr_delivery_carrier_template_NM
